Data,Descrição,Valor,Categoria
2025-05-02,Posto,-12.0,Transporte
2025-05-02,Tinta,-164.0,Moradia
2025-05-02,Cabo,-18.0,Outros
2025-05-02,Loja 1 Real,-109.0,Lazer
2025-05-02,Salgado/Pastel,-94.0,Alimentação
2025-05-03,Casa da Utilid,-198.0,Moradia
2025-05-05,Max,-30.0,Outros
2025-05-05,Remap,-343.0,Transporte
2025-05-06,Mercado Livre,-10.0,Lazer
2025-05-06,Mercado Livre,-38.0,Lazer
2025-05-06,Mercado Livre,-42.0,Lazer
2025-05-06,Mercado Livre,-88.0,Lazer
2025-05-07,Ração,-43.0,Outros
2025-05-07,Pizza,-87.0,Alimentação
2025-05-07,Posto,-19.0,Transporte
2025-05-09,Cabo,-18.0,Outros
2025-05-10,Pedagio,-16.0,Transporte
2025-05-10,Posto,-12.0,Transporte
2025-05-10,Shopping,-189.0,Lazer
2025-05-10,Posto,-150.0,Transporte
2025-05-10,Shopping,-42.0,Lazer
2025-05-10,Lanche,-142.0,Alimentação
2025-05-10,Estacionamento,-20.0,Transporte
2025-05-10,Mercado,-225.0,Alimentação
2025-05-10,Shopping,-99.0,Lazer
2025-05-10,Shopping,-36.0,Lazer
2025-05-12,Mercado,-112.0,Alimentação
2025-05-12,Cabelo,-35.0,Saúde
2025-05-12,Mercado,-133.0,Alimentação
2025-05-14,Mercado,-267.0,Alimentação
2025-05-14,Conveniencia,-26.0,Alimentação
2025-05-14,Mercado,-143.0,Alimentação
2025-05-15,Doce,-13.0,Alimentação
2025-05-15,Pedagio,-16.0,Transporte
2025-05-15,Pedagio,-16.0,Transporte
2025-05-15,Outbank,-149.0,Alimentação
2025-05-15,Renner,-139.0,Lazer
2025-05-15,Estacionamento,-20.0,Transporte
2025-05-15,Maravilhas do lar,-56.0,Moradia
2025-05-16,MC,-56.0,Alimentação
2025-05-16,Posto,-12.0,Transporte
2025-05-17,Pizza,-145.0,Alimentação
2025-05-19,Loterias,-15.0,Lazer
2025-05-20,Alan,-122.0,Outros
2025-05-21,Posto,-130.0,Transporte
2025-05-22,Tela,-74.0,Outros
2025-05-22,Agropecuaria,-10.0,Outros
2025-05-23,Sorvete,-18.0,Alimentação
2025-05-24,Pedagio,-12.0,Transporte
2025-05-24,Posto,-50.0,Transporte
2025-05-24,Pedagio,-16.0,Transporte
2025-05-24,Pedagio,-13.0,Transporte
2025-05-24,Pedagio,-12.0,Transporte
2025-05-24,Pedagio,-16.0,Transporte
2025-05-24,Posto,-70.0,Transporte
2025-05-24,Pedagio,-13.0,Transporte
2025-05-25,Sorvete,-30.0,Alimentação
2025-05-25,Posto,-50.0,Transporte
2025-05-25,Pesqueiro,-250.0,Lazer
2025-05-27,Pizza,-58.0,Alimentação
2025-05-27,Posto,-12.0,Transporte
2025-05-27,Lanche,-159.0,Alimentação
2025-05-28,Pedagio,-16.0,Transporte
2025-05-28,Posto,-70.0,Transporte
2025-05-28,Pedagio,-16.0,Transporte
2025-05-28,Mercado,-150.0,Alimentação
2025-05-29,Mc Donalds,-75.0,Alimentação
2025-05-30,Fundue Mercado,-334.0,Alimentação
2025-05-31,Lasanha,-98.0,Alimentação
2025-05-31,Swile,950.0,Salário
